"","time","country","reported_cases","reported_cases_c","predicted_cases_c","predicted_min_c","predicted_max_c","predicted_cases","predicted_min","predicted_max","deaths","deaths_c","estimated_deaths_c","death_min_c","death_max_c","estimated_deaths","death_min","death_max","rt","rt_min","rt_max"
"811",2020-03-23,"Greece",94,624,10186.8655219162,6531.30840136752,15095.3712609079,218.856718713362,130.584118325556,334.23036810225,2,15,16.0561972209115,8.36891299350361,27.9570636336443,2.02636543198028,1.30682269701073,2.98043625622289,0.381843361013902,0.269085227054697,0.520456753472318
"812",2020-03-24,"Greece",71,695,10408.4433160048,6661.12335584973,15436.2062663745,221.577794088576,129.814954482207,340.835005466576,2,17,18.3105557467869,9.8731610344722,31.168645645445,2.25435852587533,1.50424804096859,3.21158201180073,0.381835107375075,0.269081666982908,0.520446061076141
"813",2020-03-25,"Greece",48,743,10624.0758932028,6784.58267779791,15772.4728639515,215.632577198034,123.459321948184,336.266597576956,3,20,20.8081724177353,11.598582673527,34.6324558271548,2.49761667094846,1.72542163905478,3.46381018170979,0.381826741279312,0.269078141857459,0.520435207691481
"814",2020-03-26,"Greece",78,821,10827.2479066635,6898.13102682385,16091.7091401439,203.172013460616,113.548349025945,319.236276192439,2,22,23.5612560776725,13.5637598545178,38.3391516055286,2.75308365993715,1.96517718099086,3.70669577837379,0.381818588405062,0.269074787053259,0.520424551604273
"815",2020-03-27,"Greece",71,892,11014.510988648,7001.01448094595,16388.2202615498,187.263081984532,102.883454122091,296.511121405909,4,26,26.5772746915401,15.7881991801772,42.3251430503862,3.01601861386759,2.2244393256594,3.98599144485759,0.381810894020188,0.269071699788678,0.520414362544646
"816",2020-03-28,"Greece",74,966,11184.7073419733,7092.26044261517,16660.1943832235,170.196353325285,91.2459616692204,271.974121673682,2,28,29.8577623400536,18.2626745688666,46.607887477021,3.28048764851352,2.47447538868939,4.28274442663479,0.381803788545603,0.269068926484071,0.520404787067279
"817",2020-03-29,"Greece",95,1061,11338.083005992,7171.67785885146,16908.9751639993,153.375664018749,79.4174162362895,248.780780775786,4,32,33.398188272082,20.9949702052967,51.1377706109709,3.54042593202841,2.73229563643004,4.52988313394992,0.381797316677097,0.269066475931974,0.520395881443113
"818",2020-03-30,"Greece",95,1156,11475.6268658109,7240.99287801995,17137.8724497192,137.543859818896,69.3150191684918,228.897285719915,6,38,37.1852378175765,23.9639722286576,55.9381245639613,3.78704954549446,2.96900202336094,4.8003539529904,0.381791470593754,0.26906433407329,0.520387647470119
"819",2020-03-31,"Greece",56,1212,11598.6511122471,7301.05291583803,17348.3516327118,123.024246436142,60.060037818079,210.479182992578,5,43,41.1979229936278,27.1367246899561,60.9846362550726,4.0126851760513,3.17275246129846,5.04651169111134,0.381786214662293,0.269062475137646,0.520380058266734
"820",2020-04-01,"Greece",102,1314,11708.5514440477,7353.1067364559,17540.6816674716,109.900331800609,52.0538206178712,192.33003475983,6,49,45.4111918201442,30.5060593945295,66.2531691504073,4.2132688265164,3.36933470457339,5.26853289533473,0.381781501082644,0.269060868831413,0.520373074089408
"821",2020-04-02,"Greece",61,1375,11806.6828021237,7398.18293443793,17718.1547736296,98.1313580760308,45.076197982034,177.473106157952,1,50,49.7944809778701,34.0349518771961,71.7027470989399,4.38328915772594,3.52889248266669,5.44957794853257,0.381777278811363,0.269059484504925,0.520366651063834
"822",2020-04-03,"Greece",139,1514,11894.3028284653,7437.43779687581,17879.7962475351,87.6200263415897,39.2548624378751,161.641473905483,3,53,54.3129270419142,37.6818053856217,77.3118057920197,4.51844606404412,3.64685350842551,5.60905869307975,0.381773498178435,0.269058293317249,0.520360745566707
"823",2020-04-04,"Greece",99,1613,11972.5521299063,7471.48828607183,18027.9476421342,78.2493014409922,34.0504891960257,148.151394599195,6,59,58.925216966409,41.4023277067587,83.0496481699521,4.61228992449481,3.72052232113702,5.7378423779324,0.381770112988414,0.269057269187445,0.520355316181559
"824",2020-04-05,"Greece",60,1673,12042.4530234018,7500.94006064124,18163.5177985691,69.9008934955046,29.4517745694056,135.570156434829,9,68,63.5954368667438,45.1571065698598,88.8343168478822,4.6702199003348,3.75477886310111,5.78466867793011,0.381767081259502,0.269056389064142,0.520350324406804
"825",2020-04-06,"Greece",62,1735,12104.9166218505,7526.2837051223,18288.0204456652,62.4635984486651,25.3436444810575,124.502647096156,5,73,68.2855933834632,48.9224450216717,94.6646637749354,4.69015651671939,3.76533845181187,5.8303469270532,0.38176436528125,0.269055632842838,0.520345734774386
"826",2020-04-07,"Greece",20,1755,12160.7529981917,7548.03202401664,18402.2951620634,55.8363763412582,21.7483188943445,114.274716398119,6,79,72.958637020984,52.6647402619839,100.466117516029,4.67304363752081,3.74229524031223,5.80145374109399,0.3817619313658,0.269054983122222,0.520341514719853
"827",2020-04-08,"Greece",77,1832,12210.6818896449,7566.88589250777,18506.5604336489,49.9288914532102,18.8538684911274,104.265271585593,2,81,77.5787714930701,56.3495938674259,106.213069069263,4.6201344720861,3.68485360544204,5.74695155323405,0.381759749486178,0.269054424903994,0.520337634367242
"828",2020-04-09,"Greece",52,1884,12255.3428376474,7583.1094515492,18602.8358817087,44.660948002517,16.2235590414328,96.2754480597884,2,83,82.115885519134,59.9485670444569,111.883857594075,4.53711402606387,3.59897317703094,5.67078852481202,0.381757792894386,0.269053945289347,0.520334066300072
"829",2020-04-10,"Greece",71,1955,12295.3043681834,7597.07793097109,18691.2005271424,39.9615305359934,13.9684794218938,88.3646454336713,3,86,86.5425961135874,63.4440858742558,117.42940844848,4.42671059445335,3.49551882979891,5.54555085440422,0.38175603775936,0.269053533196546,0.520330785345475
"830",2020-04-11,"Greece",56,2011,12331.0721420682,7609.05977363533,18772.1339865906,35.7677738847571,11.9818426642317,80.9334594482272,4,90,90.8323735531588,66.8078713511615,122.840307966706,4.2897774395714,3.36378547690574,5.41089951822638,0.381754462838978,0.269053179108742,0.520327768378895
"831",2020-04-12,"Greece",70,2081,12363.0961372586,7619.33720112172,18846.6526754825,32.0239951904569,10.2774274863976,74.5186888918673,3,93,94.9674339018941,70.0346789695959,128.078199410234,4.13506034873536,3.22680761843433,5.23789144352777,0.381753049188579,0.269052874853601,0.52032499414923
