"","time","country","estimated_deaths_forecast","death_min_forecast","death_max_forecast"
"42",2020-04-25,"France",687.939455499689,521.451023049076,915.570527673076
"43",2020-04-26,"France",679.799289907038,505.725611180418,914.209326385924
"44",2020-04-27,"France",671.60584319569,490.510928720518,918.244163466878
"45",2020-04-28,"France",663.271486730527,478.143632366313,922.912104687245
"46",2020-04-29,"France",654.682984225789,465.865614330662,923.857309072807
"47",2020-04-30,"France",646.116565185516,451.485978254883,926.434658361215
"48",2020-05-01,"France",637.690660217661,436.734414386265,928.695680606767
"49",2020-04-24,"Norway",5.91430562980013,4.04369987332342,8.35979510076888
"50",2020-04-25,"Norway",5.73249056366098,3.82947156440545,8.24303880914888
"51",2020-04-26,"Norway",5.54794793110353,3.59537000856866,8.17109336733066
"52",2020-04-27,"Norway",5.36285260116771,3.37619243549772,8.09677371908889
"53",2020-04-28,"Norway",5.18063124362073,3.16837373801765,7.98971644013364
"54",2020-04-29,"Norway",5.00080994553633,2.98907749662387,7.85751407540242
"55",2020-04-30,"Norway",4.82412972316581,2.79398722428851,7.76203346218318
"56",2020-05-01,"Norway",4.65025948066901,2.60609758149121,7.66087300516914
"57",2020-04-24,"Belgium",330.657895463673,249.933170020694,444.610597161454
"58",2020-04-25,"Belgium",338.682052439484,251.412783670127,462.479661232062
"59",2020-04-26,"Belgium",346.724886244178,253.527368091863,478.606623346365
"60",2020-04-27,"Belgium",354.715783629557,254.796102238655,496.580666826057
"61",2020-04-28,"Belgium",362.689448144715,255.968131451461,514.210047884719
"62",2020-04-29,"Belgium",370.632533778027,256.822508258233,531.648037534476
"63",2020-04-30,"Belgium",378.495182847752,256.740211133487,552.114723566699
"64",2020-05-01,"Belgium",386.315095928674,256.356253618457,572.546795862523
"65",2020-04-24,"Austria",13.5259647810141,9.71562476048467,18.3008602984035
"66",2020-04-25,"Austria",13.1593824273006,9.27425070609569,18.1058442680894
"67",2020-04-26,"Austria",12.7984596468596,8.82339509353422,17.971693303352
"68",2020-04-27,"Austria",12.443855967449,8.39000347805954,17.7167552097159
"69",2020-04-28,"Austria",12.0915261601445,7.97160153928348,17.6033371710475
"70",2020-04-29,"Austria",11.7474878403583,7.57220407430547,17.4244066610949
"71",2020-04-30,"Austria",11.4159095316302,7.20088324372504,17.2800921587832
"72",2020-05-01,"Austria",11.0921509545467,6.83994847023658,17.1387457955428
"73",2020-04-24,"Sweden",159.426276586593,117.728835829471,218.220353681099
"74",2020-04-25,"Sweden",167.356951624283,120.628797532802,234.760589644992
"75",2020-04-26,"Sweden",175.572712020794,123.270680320753,253.298567008718
"76",2020-04-27,"Sweden",184.048455526155,125.649493665044,270.644686587375
"77",2020-04-28,"Sweden",192.813405368319,128.06481619519,289.508139319538
"78",2020-04-29,"Sweden",201.876329658061,130.135566542722,309.247804244791
"79",2020-04-30,"Sweden",211.265592988446,132.096887135848,331.151276257835
"80",2020-05-01,"Sweden",220.967918740417,133.898713291422,353.014690863418
"81",2020-04-24,"Switzerland",31.4149267456067,24.2084061241262,40.7366965499198
"82",2020-04-25,"Switzerland",30.1053622601089,22.8052795990603,39.8440033972256
"83",2020-04-26,"Switzerland",28.8233761013412,21.5021930130304,38.8791185873196
"84",2020-04-27,"Switzerland",27.5705342913127,20.259764410678,37.9556019053778
"85",2020-04-28,"Switzerland",26.3602055181953,19.0565251516528,36.9909031977004
"86",2020-04-29,"Switzerland",25.1777305317344,17.9058069235678,36.0033484499368
"87",2020-04-30,"Switzerland",24.0389909901689,16.6414020095373,34.9256092135564
"88",2020-05-01,"Switzerland",22.9406660827786,15.639911025076,34.0423623587796
"89",2020-04-24,"Greece",1.90727940684138,1.31227403455582,2.66163991516688
"90",2020-04-25,"Greece",1.75287870849423,1.18675490440056,2.48121546612247
"91",2020-04-26,"Greece",1.60698102756777,1.07124162351775,2.31731716123004
"92",2020-04-27,"Greece",1.47136930198287,0.962112923880906,2.15384640874846
"93",2020-04-28,"Greece",1.34436674734481,0.865010038246423,1.99635332759496
"94",2020-04-29,"Greece",1.22638200065535,0.772938023484356,1.84520977963903
"95",2020-04-30,"Greece",1.11672868727173,0.693053396744384,1.69576643837278
"96",2020-05-01,"Greece",1.01547503199142,0.617704010692928,1.57618588409
"97",2020-04-24,"Portugal",25.0168273366466,18.9679236695652,33.3260476693873
"98",2020-04-25,"Portugal",24.1830365140574,17.8666964099119,32.7255969796292
"99",2020-04-26,"Portugal",23.361526981547,16.9305683950255,32.166371751656
"100",2020-04-27,"Portugal",22.5473579041105,16.111160673699,31.7441771927388
"101",2020-04-28,"Portugal",21.7436517790846,15.2287949469341,31.2448695159168
"102",2020-04-29,"Portugal",20.9508519381161,14.3181879961259,30.6939463435749
"103",2020-04-30,"Portugal",20.1808786916934,13.4984961500503,30.1872826345984
"104",2020-05-01,"Portugal",19.423876376877,12.7239493742578,29.6182393335531
"105",2020-04-24,"Netherlands",113.339975142158,88.6635819135574,142.131363003741
"106",2020-04-25,"Netherlands",108.181169621774,83.2045936284973,137.735165687237
"107",2020-04-26,"Netherlands",103.096397381458,77.8442138751033,133.447446269458
"108",2020-04-27,"Netherlands",98.1564738883824,72.8406433123742,129.778655960983
"109",2020-04-28,"Netherlands",93.3401419065388,67.7912437997753,125.066398097794
"110",2020-04-29,"Netherlands",88.6689744016568,63.0175878838923,121.257093253494
"111",2020-04-30,"Netherlands",84.1321846831005,58.4725510153741,117.509676913962
"112",2020-05-01,"Netherlands",79.7907864473725,54.1459274404952,113.508764734127
